Label,Iteration,Qubits,Abs_Error,Exp_Value,Ideal_Value,Circuit_Density,Max_Decoherence,Job_ID,Method_Index
8: no_dd,1,8,0.4326171875,0.5673828125,1.0,0.2526041666666667,0.027991,d4olaksfitbs739f3uug,0
8: no_dd,2,8,0.4140625,0.5859375,1.0,0.2526041666666667,0.027991,d4olalcfitbs739f3v00,0
8: no_dd,3,8,0.42724609375,0.57275390625,1.0,0.2526041666666667,0.027991,d4olalnt3pms7395b2cg,0
8: dd_xx,1,8,0.39892578125,0.60107421875,1.0,0.2526041666666667,0.027991,d4olaksfitbs739f3uug,1
8: dd_xx,2,8,0.40380859375,0.59619140625,1.0,0.2526041666666667,0.027991,d4olalcfitbs739f3v00,1
8: dd_xx,3,8,0.39599609375,0.60400390625,1.0,0.2526041666666667,0.027991,d4olalnt3pms7395b2cg,1
8: dd_xpxm,1,8,0.40087890625,0.59912109375,1.0,0.2526041666666667,0.027991,d4olaksfitbs739f3uug,2
8: dd_xpxm,2,8,0.3935546875,0.6064453125,1.0,0.2526041666666667,0.027991,d4olalcfitbs739f3v00,2
8: dd_xpxm,3,8,0.39599609375,0.60400390625,1.0,0.2526041666666667,0.027991,d4olalnt3pms7395b2cg,2
11: no_dd,1,11,0.69189453125,-0.30810546875,-1.0,0.18732782369146006,0.028355,d4olaksfitbs739f3uug,0
11: no_dd,2,11,0.673828125,-0.326171875,-1.0,0.18732782369146006,0.028355,d4olalcfitbs739f3v00,0
11: no_dd,3,11,0.69140625,-0.30859375,-1.0,0.18732782369146006,0.028355,d4olalnt3pms7395b2cg,0
11: dd_xx,1,11,0.6279296875,-0.3720703125,-1.0,0.18732782369146006,0.028355,d4olaksfitbs739f3uug,1
11: dd_xx,2,11,0.634765625,-0.365234375,-1.0,0.18732782369146006,0.028355,d4olalcfitbs739f3v00,1
11: dd_xx,3,11,0.62939453125,-0.37060546875,-1.0,0.18732782369146006,0.028355,d4olalnt3pms7395b2cg,1
