Label,Iteration,Qubits,Abs_Error,Exp_Value,Ideal_Value,Circuit_Density,Job_ID,Method_Index
7: no_dd,1,7,0.3505859375,-0.6494140625,-1.0,0.2857142857142857,d59292psmlfc739k5070,0
7: no_dd,2,7,0.35546875,-0.64453125,-1.0,0.2857142857142857,d592933ht8fs73a490sg,0
7: no_dd,3,7,0.357421875,-0.642578125,-1.0,0.2857142857142857,d59293gnsj9s73b67d2g,0
7: dd_xx,1,7,0.35888671875,-0.64111328125,-1.0,0.2857142857142857,d59292psmlfc739k5070,1
7: dd_xx,2,7,0.36328125,-0.63671875,-1.0,0.2857142857142857,d592933ht8fs73a490sg,1
7: dd_xx,3,7,0.3837890625,-0.6162109375,-1.0,0.2857142857142857,d59293gnsj9s73b67d2g,1
7: dd_cust,1,7,0.373046875,-0.626953125,-1.0,0.2857142857142857,d59292psmlfc739k5070,2
7: dd_cust,2,7,0.3642578125,-0.6357421875,-1.0,0.2857142857142857,d592933ht8fs73a490sg,2
7: dd_cust,3,7,0.34423828125,-0.65576171875,-1.0,0.2857142857142857,d59293gnsj9s73b67d2g,2
12: no_dd,1,12,0.5888671875,0.4111328125,1.0,0.1724537037037037,d59292psmlfc739k5070,0
12: no_dd,2,12,0.583984375,0.416015625,1.0,0.1724537037037037,d592933ht8fs73a490sg,0
12: no_dd,3,12,0.55126953125,0.44873046875,1.0,0.1724537037037037,d59293gnsj9s73b67d2g,0
12: dd_xx,1,12,0.5205078125,0.4794921875,1.0,0.1724537037037037,d59292psmlfc739k5070,1
12: dd_xx,2,12,0.53564453125,0.46435546875,1.0,0.1724537037037037,d592933ht8fs73a490sg,1
12: dd_xx,3,12,0.525390625,0.474609375,1.0,0.1724537037037037,d59293gnsj9s73b67d2g,1
12: dd_cust,1,12,0.533203125,0.466796875,1.0,0.1724537037037037,d59292psmlfc739k5070,2
12: dd_cust,2,12,0.55126953125,0.44873046875,1.0,0.1724537037037037,d592933ht8fs73a490sg,2
12: dd_cust,3,12,0.53173828125,0.46826171875,1.0,0.1724537037037037,d59293gnsj9s73b67d2g,2
17: no_dd,1,17,0.91796875,-0.08203125,-1.0,0.12341407151095732,d59292psmlfc739k5070,0
17: no_dd,2,17,0.91552734375,-0.08447265625,-1.0,0.12341407151095732,d592933ht8fs73a490sg,0
17: no_dd,3,17,0.8837890625,-0.1162109375,-1.0,0.12341407151095732,d59293gnsj9s73b67d2g,0
17: dd_xx,1,17,0.7353515625,-0.2646484375,-1.0,0.12341407151095732,d59292psmlfc739k5070,1
17: dd_xx,2,17,0.73095703125,-0.26904296875,-1.0,0.12341407151095732,d592933ht8fs73a490sg,1
17: dd_xx,3,17,0.748046875,-0.251953125,-1.0,0.12341407151095732,d59293gnsj9s73b67d2g,1
17: dd_cust,1,17,0.7333984375,-0.2666015625,-1.0,0.12341407151095732,d59292psmlfc739k5070,2
17: dd_cust,2,17,0.7373046875,-0.2626953125,-1.0,0.12341407151095732,d592933ht8fs73a490sg,2
17: dd_cust,3,17,0.74853515625,-0.25146484375,-1.0,0.12341407151095732,d59293gnsj9s73b67d2g,2
22: no_dd,1,22,1.06640625,-0.06640625,1.0,0.09607438016528926,d59292psmlfc739k5070,0
22: no_dd,2,22,1.0791015625,-0.0791015625,1.0,0.09607438016528926,d592933ht8fs73a490sg,0
22: no_dd,3,22,1.06689453125,-0.06689453125,1.0,0.09607438016528926,d59293gnsj9s73b67d2g,0
22: dd_xx,1,22,0.89697265625,0.10302734375,1.0,0.09607438016528926,d59292psmlfc739k5070,1
22: dd_xx,2,22,0.8759765625,0.1240234375,1.0,0.09607438016528926,d592933ht8fs73a490sg,1
22: dd_xx,3,22,0.88232421875,0.11767578125,1.0,0.09607438016528926,d59293gnsj9s73b67d2g,1
22: dd_cust,1,22,0.876953125,0.123046875,1.0,0.09607438016528926,d59292psmlfc739k5070,2
22: dd_cust,2,22,0.88330078125,0.11669921875,1.0,0.09607438016528926,d592933ht8fs73a490sg,2
22: dd_cust,3,22,0.86279296875,0.13720703125,1.0,0.09607438016528926,d59293gnsj9s73b67d2g,2
