Label,Iteration,Qubits,Abs_Error,Exp_Value,Ideal_Value,Circuit_Density,Max_Decoherence,Job_ID,Method_Index
7: no_dd,1,7,0.33935546875,-0.66064453125,-1.0,0.2857142857142857,0.004619,d4o4bghn1t7c73di2u4g,0
7: no_dd,2,7,0.34521484375,-0.65478515625,-1.0,0.2857142857142857,0.004619,d4o4bh47eg9s739a3jsg,0
7: no_dd,3,7,0.34521484375,-0.65478515625,-1.0,0.2857142857142857,0.004619,d4o4bhch0bas73fc5aog,0
7: dd_xx,1,7,0.37060546875,-0.62939453125,-1.0,0.2857142857142857,0.004619,d4o4bghn1t7c73di2u4g,1
7: dd_xx,2,7,0.3759765625,-0.6240234375,-1.0,0.2857142857142857,0.004619,d4o4bh47eg9s739a3jsg,1
7: dd_xx,3,7,0.384765625,-0.615234375,-1.0,0.2857142857142857,0.004619,d4o4bhch0bas73fc5aog,1
7: dd_xpxm,1,7,0.3759765625,-0.6240234375,-1.0,0.2857142857142857,0.004619,d4o4bghn1t7c73di2u4g,2
7: dd_xpxm,2,7,0.3671875,-0.6328125,-1.0,0.2857142857142857,0.004619,d4o4bh47eg9s739a3jsg,2
7: dd_xpxm,3,7,0.37548828125,-0.62451171875,-1.0,0.2857142857142857,0.004619,d4o4bhch0bas73fc5aog,2
10: no_dd,1,10,0.58251953125,0.41748046875,1.0,0.205,0.027991,d4o4bghn1t7c73di2u4g,0
10: no_dd,2,10,0.541015625,0.458984375,1.0,0.205,0.027991,d4o4bh47eg9s739a3jsg,0
10: no_dd,3,10,0.53564453125,0.46435546875,1.0,0.205,0.027991,d4o4bhch0bas73fc5aog,0
10: dd_xx,1,10,0.4541015625,0.5458984375,1.0,0.205,0.027991,d4o4bghn1t7c73di2u4g,1
10: dd_xx,2,10,0.46826171875,0.53173828125,1.0,0.205,0.027991,d4o4bh47eg9s739a3jsg,1
10: dd_xx,3,10,0.474609375,0.525390625,1.0,0.205,0.027991,d4o4bhch0bas73fc5aog,1
10: dd_xpxm,1,10,0.4462890625,0.5537109375,1.0,0.205,0.027991,d4o4bghn1t7c73di2u4g,2
10: dd_xpxm,2,10,0.46630859375,0.53369140625,1.0,0.205,0.027991,d4o4bh47eg9s739a3jsg,2
10: dd_xpxm,3,10,0.4560546875,0.5439453125,1.0,0.205,0.027991,d4o4bhch0bas73fc5aog,2
13: no_dd,1,13,0.6650390625,-0.3349609375,-1.0,0.15976331360946747,0.098807,d4o4bghn1t7c73di2u4g,0
13: no_dd,2,13,0.64599609375,-0.35400390625,-1.0,0.15976331360946747,0.098807,d4o4bh47eg9s739a3jsg,0
13: no_dd,3,13,0.64208984375,-0.35791015625,-1.0,0.15976331360946747,0.098807,d4o4bhch0bas73fc5aog,0
13: dd_xx,1,13,0.564453125,-0.435546875,-1.0,0.15976331360946747,0.098807,d4o4bghn1t7c73di2u4g,1
13: dd_xx,2,13,0.5458984375,-0.4541015625,-1.0,0.15976331360946747,0.098807,d4o4bh47eg9s739a3jsg,1
13: dd_xx,3,13,0.5810546875,-0.4189453125,-1.0,0.15976331360946747,0.098807,d4o4bhch0bas73fc5aog,1
13: dd_xpxm,1,13,0.58056640625,-0.41943359375,-1.0,0.15976331360946747,0.098807,d4o4bghn1t7c73di2u4g,2
13: dd_xpxm,2,13,0.564453125,-0.435546875,-1.0,0.15976331360946747,0.098807,d4o4bh47eg9s739a3jsg,2
13: dd_xpxm,3,13,0.57080078125,-0.42919921875,-1.0,0.15976331360946747,0.098807,d4o4bhch0bas73fc5aog,2
16: no_dd,1,16,0.9990234375,0.0009765625,1.0,0.130859375,0.107095,d4o4bghn1t7c73di2u4g,0
16: no_dd,2,16,0.92529296875,0.07470703125,1.0,0.130859375,0.107095,d4o4bh47eg9s739a3jsg,0
16: no_dd,3,16,0.921875,0.078125,1.0,0.130859375,0.107095,d4o4bhch0bas73fc5aog,0
16: dd_xx,1,16,0.68701171875,0.31298828125,1.0,0.130859375,0.107095,d4o4bghn1t7c73di2u4g,1
16: dd_xx,2,16,0.685546875,0.314453125,1.0,0.130859375,0.107095,d4o4bh47eg9s739a3jsg,1
16: dd_xx,3,16,0.69921875,0.30078125,1.0,0.130859375,0.107095,d4o4bhch0bas73fc5aog,1
16: dd_xpxm,1,16,0.6953125,0.3046875,1.0,0.130859375,0.107095,d4o4bghn1t7c73di2u4g,2
16: dd_xpxm,2,16,0.68408203125,0.31591796875,1.0,0.130859375,0.107095,d4o4bh47eg9s739a3jsg,2
16: dd_xpxm,3,16,0.69189453125,0.30810546875,1.0,0.130859375,0.107095,d4o4bhch0bas73fc5aog,2
19: no_dd,1,19,1.09423828125,0.09423828125,-1.0,0.11080332409972299,0.096633,d4o4bghn1t7c73di2u4g,0
19: no_dd,2,19,1.01904296875,0.01904296875,-1.0,0.11080332409972299,0.096633,d4o4bh47eg9s739a3jsg,0
19: no_dd,3,19,1.03662109375,0.03662109375,-1.0,0.11080332409972299,0.096633,d4o4bhch0bas73fc5aog,0
19: dd_xx,1,19,0.79345703125,-0.20654296875,-1.0,0.11080332409972299,0.096633,d4o4bghn1t7c73di2u4g,1
19: dd_xx,2,19,0.77978515625,-0.22021484375,-1.0,0.11080332409972299,0.096633,d4o4bh47eg9s739a3jsg,1
19: dd_xx,3,19,0.80908203125,-0.19091796875,-1.0,0.11080332409972299,0.096633,d4o4bhch0bas73fc5aog,1
19: dd_xpxm,1,19,0.802734375,-0.197265625,-1.0,0.11080332409972299,0.096633,d4o4bghn1t7c73di2u4g,2
19: dd_xpxm,2,19,0.79638671875,-0.20361328125,-1.0,0.11080332409972299,0.096633,d4o4bh47eg9s739a3jsg,2
19: dd_xpxm,3,19,0.81396484375,-0.18603515625,-1.0,0.11080332409972299,0.096633,d4o4bhch0bas73fc5aog,2
